time,Tuintergral,uintergral,Tbulk
0.0,0.0,0.0,0.0
0.0005,135.943,31.6996,4.28847682620601
0.001,206.976,32.2097,6.425890337382839
0.0015,270.019,32.0783,8.417497186571609
0.002,327.882,32.0784,10.2212703875505
0.0025,381.943,32.0813,11.905471411694663
0.003,432.801,32.0905,13.486888643056357
0.0035,480.885,32.0961,14.98266144484844
0.004,526.609,32.1005,16.405009267768417
0.0045,570.281,32.1042,17.763439051588264
0.005,612.122,32.1076,19.064707421295893
0.0055,652.32,32.1104,20.31491354825851
0.006,691.036,32.1129,21.518953442386078
0.0065,728.405,32.1151,22.68107525743342
0.007,764.542,32.1171,23.80482671224986
0.0075,799.535,32.1188,24.893053289662127
0.008,833.452,32.1203,25.94782738641918
0.0085,866.383,32.1217,26.971891275991002
0.009,898.403,32.1229,27.96768037754997
0.0095,929.575,32.124,28.937087535798778
0.01,959.955,32.1251,29.881774687082686
0.0105,989.591,32.126,30.80343024341655
0.011,1018.53,32.1268,31.70343762839747
0.0115,1046.8,32.1276,32.58257697431492
0.012,1074.46,32.1282,33.4428944042928
0.0125,1101.52,32.1288,34.284504867906676
0.013,1128.01,32.1294,35.10834313743799
0.0135,1153.98,32.1299,35.91607817017793
0.014,1179.43,32.1304,36.7076040136444
0.0145,1204.4,32.1309,37.48416633209777
0.015,1228.92,32.1313,38.246818522748846
0.0155,1253.0,32.1317,38.99575808313908
0.016,1276.66,32.1322,39.73148430546306
0.0165,1299.92,32.1326,40.454865152524235
0.017,1322.81,32.1329,41.16684146155498
0.0175,1345.32,32.1333,41.866848409593786
0.018,1367.48,32.1337,42.555945938376226
0.0185,1389.3,32.134,43.234580195431626
0.019,1410.81,32.1343,43.903554768580605
0.0195,1432.01,32.1347,44.562731253131346
0.02,1452.91,32.135,45.2126964369068
0.0205,1473.54,32.1352,45.85439020139909
0.021,1493.9,32.1355,46.48752936783308
0.0215,1514.0,32.1358,47.1125660478345
0.022,1533.85,32.136,47.72996016928055
0.0225,1553.46,32.1363,48.33972797117279
0.023,1572.85,32.1365,48.94279090753505
0.0235,1592.03,32.1367,49.539311752606835
0.024,1610.99,32.1369,50.12897945974877
0.0245,1629.75,32.1371,50.7124164905981
0.025,1648.32,32.1373,51.28993412638896
0.0255,1666.71,32.1375,51.861843640606764
0.026,1684.91,32.1377,52.42783397691807
0.0265,1702.94,32.1379,52.988527564028765
0.027,1720.81,32.1381,53.54423565798849
0.0275,1738.52,32.1382,54.09512667168666
0.028,1756.08,32.1384,54.64117690986484
0.0285,1773.5,32.1385,55.18303592264729
0.029,1790.77,32.1387,55.72005090436141
