time,inlet,outlet,drop
0.0,0.0,0.0,0.0
0.0005,26552.8,0.0,26552.8
0.001,208.703,0.0,208.703
0.0015,143.496,0.0,143.496
0.002,128.505,0.0,128.505
0.0025,127.116,0.0,127.116
0.003,121.951,0.0,121.951
0.0035,114.238,0.0,114.238
0.004,109.261,0.0,109.261
0.0045,105.196,0.0,105.196
0.005,101.521,0.0,101.521
0.0055,98.1279,0.0,98.1279
0.006,95.0545,0.0,95.0545
0.0065,92.2572,0.0,92.2572
0.007,89.6865,0.0,89.6865
0.0075,87.3129,0.0,87.3129
0.008,85.1138,0.0,85.1138
0.0085,83.067,0.0,83.067
0.009,81.158,0.0,81.158
0.0095,79.3791,0.0,79.3791
0.01,77.719,0.0,77.719
0.0105,76.1621,0.0,76.1621
0.011,74.6971,0.0,74.6971
0.0115,73.3199,0.0,73.3199
0.012,72.0224,0.0,72.0224
0.0125,70.7999,0.0,70.7999
0.013,69.6418,0.0,69.6418
0.0135,68.5435,0.0,68.5435
0.014,67.5016,0.0,67.5016
0.0145,66.5126,0.0,66.5126
0.015,65.5729,0.0,65.5729
0.0155,64.6771,0.0,64.6771
0.016,63.8236,0.0,63.8236
0.0165,63.0102,0.0,63.0102
0.017,62.2331,0.0,62.2331
0.0175,61.4888,0.0,61.4888
0.018,60.7749,0.0,60.7749
0.0185,60.0913,0.0,60.0913
0.019,59.436,0.0,59.436
0.0195,58.8061,0.0,58.8061
0.02,58.2001,0.0,58.2001
0.0205,57.6169,0.0,57.6169
0.021,57.0557,0.0,57.0557
0.0215,56.5155,0.0,56.5155
0.022,55.9948,0.0,55.9948
0.0225,55.4926,0.0,55.4926
0.023,55.0081,0.0,55.0081
0.0235,54.5406,0.0,54.5406
0.024,54.0879,0.0,54.0879
0.0245,53.652,0.0,53.652
0.025,53.2297,0.0,53.2297
0.0255,52.8206,0.0,52.8206
0.026,52.4247,0.0,52.4247
0.0265,52.0414,0.0,52.0414
0.027,51.6699,0.0,51.6699
0.0275,51.3098,0.0,51.3098
0.028,50.9594,0.0,50.9594
0.0285,50.6184,0.0,50.6184
0.029,50.287,0.0,50.287
0.0295,49.9648,0.0,49.9648
0.03,49.6516,0.0,49.6516
0.0305,49.3469,0.0,49.3469
0.031,49.0504,0.0,49.0504
0.0315,48.7617,0.0,48.7617
0.032,48.4804,0.0,48.4804
0.0325,48.2056,0.0,48.2056
0.033,47.9374,0.0,47.9374
0.0335,47.6758,0.0,47.6758
0.034,47.4208,0.0,47.4208
0.0345,47.172,0.0,47.172
0.035,46.9291,0.0,46.9291
0.0355,46.6919,0.0,46.6919
0.036,46.4601,0.0,46.4601
0.0365,46.2327,0.0,46.2327
0.037,46.0104,0.0,46.0104
0.0375,45.7925,0.0,45.7925
0.038,45.5793,0.0,45.5793
0.0385,45.3709,0.0,45.3709
0.039,45.167,0.0,45.167
0.0395,44.9673,0.0,44.9673
0.04,44.772,0.0,44.772
0.0405,44.58,0.0,44.58
0.041,44.3919,0.0,44.3919
